State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Chennai,SriVenkateswaraTalkiesACDolbyAtmos,Tamil,10:15,First,50₹,172,35
TamilNadu,Chennai,SriVenkateswaraTalkiesACDolbyAtmos,Tamil,14:00,First,50₹,172,24
TamilNadu,Chennai,AlbertComplex,Tamil,15:00,FirstClass,99₹,158,46
TamilNadu,Chennai,AlbertComplex,Tamil,15:00,SecondClass,80₹,84,2
TamilNadu,Chennai,AlbertComplex,Tamil,15:00,ThirdClass,49₹,28,0
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,15:15,Prime,190₹,118,19
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,15:15,Classic,60₹,15,15
TamilNadu,Chennai,PvrSklsGalaxyMallRedHills,Tamil,15:40,Prime,165₹,81,10
TamilNadu,Chennai,PvrSklsGalaxyMallRedHills,Tamil,15:40,Classic,60₹,16,16
TamilNadu,Chennai,SriVenkateswaraTalkiesACDolbyAtmos,Tamil,18:15,First,50₹,172,69